اسم المساق : التفاضل والتكامل والهندسة التحليلية 3,رمز المساق : MATH2311,المتطلب السابق : MATH1321,
اسم المساق : مقدمة في الجبر الخطي,رمز المساق : MATH234,المتطلب السابق : MATH1321    ,
اسم المساق : طرق التحليل العددي,رمز المساق : MATH330,المتطلب السابق : MATH234 و (COMP230 أو COMP132 أو COMP142 أو COMP133),
اسم المساق : المعادلات التفاضلية العادية,رمز المساق : MATH331,المتطلب السابق : MATH1321,
اسم المساق : مختبر الإلكترونيات الرقمية وتنظيم الحاسوب,رمز المساق : ENCS211,المتطلب السابق : ENCS2304 أو متزامن,
اسم المساق : أنظمة رقمية,رمز المساق : ENCS234,المتطلب السابق : COMP133,
اسم المساق : تنظيم وتركيب الحاسوب,رمز المساق : ENCS2308,المتطلب السابق : ENCS234,
اسم المساق : المعالجات الدقيقة والأنظمة المدمجة,رمز المساق : ENCS4308,المتطلب السابق :  ENCS2308,
اسم المساق : مختبر المعالجات الدقيقة والأنظمة المدمجة,رمز المساق : ENCS5101,المتطلب السابق :  ENCS4308,
اسم المساق :  إدارة المشاريع الهندسية  ,رمز المساق : BUSA2302,المتطلب السابق : بدون متطلب سابق,
اسم المساق : مختبر الدوائر الكهربائية,رمز المساق : ENEE2102,المتطلب السابق : ( ENEE2305 أو متزامن) و PHYS112,
اسم المساق : الدوائر الكهربائية 1,رمز المساق : ENEE2301,المتطلب السابق :  PHYS132,
اسم المساق : الدوائر الكهربائية 2,رمز المساق : ENEE2305,المتطلب السابق : ENEE2301 و(ENEE2303 أو متزامن),
اسم المساق : الاحتمالات والإحصاء الهندسي,رمز المساق : ENEE2307,المتطلب السابق : MATH1321,
اسم المساق : الإشارات والأنظمة,رمز المساق :  ENEE2302,المتطلب السابق :  MATH331,
اسم المساق : الإلكترونيات 1,رمز المساق : ENEE2303,المتطلب السابق : ENEE2301,
اسم المساق : الآلات الكهربائية,رمز المساق : ENEE2408,المتطلب السابق : ENEE2301 ,
اسم المساق : مختبر الآلات الكهربائية,رمز المساق : ENEE3101,"المتطلب السابق : ENEE2102, ENEE2408",
اسم المساق : مختبر الإلكترونيات,رمز المساق : ENEE3102,"المتطلب السابق : ENEE3304),PHYS112 أو متزامن)",
اسم المساق : الإلكترونيات 2,رمز المساق : ENEE3304,المتطلب السابق : ENEE2303,
اسم المساق : إلكترونيات القوى,رمز المساق : ENEE3305,"المتطلب السابق : ENEE2303, (ENEE2302 أو متزامن)",
اسم المساق : مبادئ وتطبيقات كهرو ميكانيكية,رمز المساق : ENEE3307,المتطلب السابق : PHYS132,
اسم المساق : أنظمة الاتصالات,رمز المساق : ENEE3309,"المتطلب السابق : ENEE2302, (ENEE2307 أو متزامن)",
اسم المساق : الكهرومغناطيسية,رمز المساق : ENEE3318,"المتطلب السابق : PHYS132, MATH2311",
اسم المساق : الاتصالات وشبكات البيانات الرقمية,رمز المساق : ENEE3401,المتطلب السابق : ENEE3309,
اسم المساق : مختبر محاكاة هندسية,رمز المساق : ENEE4104,"المتطلب السابق : ENEE2408, ENEE3304 ",
اسم المساق : مختبر التحكم وإلكترونيات القوى,رمز المساق : ENEE4105,"المتطلب السابق : ENEE4302, ENEE3305",
اسم المساق : مختبر الاتصالات,رمز المساق : ENEE4103,المتطلب السابق : ENEE3309,
اسم المساق : التركيبات والمخططات الكهربائية,رمز المساق : ENEE4202,المتطلب السابق : ENEE2301,
اسم المساق : تدريب عملي,رمز المساق : ENEE4300,المتطلب السابق : مستوى سنة رابعة وموافقة الدائرة,
اسم المساق : أنظمة التحكم 1,رمز المساق : ENEE4302,"المتطلب السابق : ENEE2302, ENEE2305",
اسم المساق : أجهزة وقياسات,رمز المساق : ENEE4304,"المتطلب السابق : ENEE3304, (ENCS2308 أو متزامن)",
اسم المساق : أنظمة القوى الكهربائية,رمز المساق : ENEE4403,المتطلب السابق : ENEE2408,
اسم المساق : مقدمة مشروع في الهندسة الكهربائية,رمز المساق : ENEE5200,المتطلب السابق : ENEE4300,
اسم المساق : مشروع في الهندسة الكهربائية,رمز المساق : ENEE5300,"المتطلب السابق : ENEE5200, ENEE4300",
المساقات الاختيارية: 13 ساعة معتمدة,,,
اسم المساق : مختبر متقدم في الاتصالات,رمز المساق : ENEE5101,"المتطلب السابق : ENEE4103,ENEE3401",المجموعة الأولى : تركيز الاتصالات
اسم المساق : الكهرومغناطيسية التطبيقية,رمز المساق : ENEE4301,المتطلب السابق : ENEE3318 ,المجموعة الأولى : تركيز الاتصالات
اسم المساق : نظرية المعلومات والترميز,رمز المساق : ENEE5304,"المتطلب السابق : ENEE3309, أو ENEE339",المجموعة الأولى : تركيز الاتصالات
اسم المساق : الاتصالات اللاسلكية,رمز المساق : ENEE5305,المتطلب السابق : ENEE3309 ,المجموعة الأولى : تركيز الاتصالات
اسم المساق : نظم التشغيل,رمز المساق : ENCS339,المتطلب السابق : ENCS238 أو ENCS336,المجموعة الثانية : تركيز الحاسوب
اسم المساق : مختبر شبكات الحاسوب,رمز المساق : ENCS413,المتطلب السابق : ENCS436  أو ENCS433,المجموعة الثانية : تركيز الحاسوب
اسم المساق : شبكات الحاسوب,رمز المساق : ENCS436,المتطلب السابق : ENEE3306 أوENEE339,المجموعة الثانية : تركيز الحاسوب
اسم المساق : عمارة الحاسبات,رمز المساق : ENCS437,المتطلب السابق :  ENCS336  أو ENCS238,المجموعة الثانية : تركيز الحاسوب
اسم المساق : علم الحاسوب,رمز المساق : COSC,المتطلب السابق : مستوى سنة ثالثة,لمجموعة الثالثة:3 ساعات معتمد:  تركيز المعلومات الصحية
اسم المساق : مختبر القوى,رمز المساق : ENEE5102,"المتطلب السابق : ENCS336, (ENEE5303 أو متزامن) ",المجموعة الثالثة : تركيز القوى والتحكم
اسم المساق : إدارة الآلات الكهربائية وأنواع خاصة من الآلات الكهربائية,رمز المساق : ENEE5303,"المتطلب السابق : ENEE2408, ENEE3305",المجموعة الثالثة : تركيز القوى والتحكم
اسم المساق : الحماية والأتمتة في أنظمة القوى الكهربائية,رمز المساق : ENEE5306,المتطلب السابق : ENEE4403 ,المجموعة الثالثة : تركيز القوى والتحكم
اسم المساق : الطاقة المتجددة وأنظمة القدرة الكهروضوئية,رمز المساق : ENEE5307,"المتطلب السابق : ENEE3305, ENEE2408",المجموعة الثالثة : تركيز القوى والتحكم
اسم المساق : موضوع خاص في هندسة الاتصالات,رمز المساق : ENEE5311,المتطلب السابق : مستوى سنة رابعة وموافقة الدائرة,مساقات إختيارية إضافية
اسم المساق : موضوع خاص في هندسة الحاسوب,رمز المساق : ENEE5312,المتطلب السابق : مستوى سنة رابعة وموافقة الدائرة ,مساقات إختيارية إضافية
اسم المساق : موضوع خاص في هندسة القوى,رمز المساق : ENEE5313,المتطلب السابق : مستوى سنة رابعة وموافقة الدائرة,مساقات إختيارية إضافية
اسم المساق : أنظمة التحكم 2,رمز المساق : ENEE5308,المتطلب السابق : ENEE4302,مساقات إختيارية إضافية
اسم المساق : تطبيقات الزمن الحقيقي والانظمة المقحمة,رمز المساق : ENCS531,"المتطلب السابق : ENCS339, ENCS313",مساقات إختيارية إضافية
اسم المساق : موضوع خاص في هندسة أنظمة الحاسوب,رمز المساق : ENCS539,المتطلب السابق : مستوى سنة رابعة وموافقة الدائرة,مساقات إختيارية إضافية
